# size_bytes, sequential_ns, random_ns, random_index_ns
457728, 0.17, 10.50, 1.73
458752, 0.21, 10.36, 2.01
459776, 0.19, 10.03, 1.88
460800, 0.18, 10.38, 2.07
461824, 0.17, 10.31, 2.08
462848, 0.22, 10.23, 2.07
463872, 0.21, 11.06, 1.49
464896, 0.17, 10.81, 1.74
465920, 0.20, 10.25, 1.82
466944, 0.17, 10.70, 2.10
467968, 0.26, 10.04, 1.70
468992, 0.17, 10.62, 1.98
470016, 0.17, 9.92, 1.91
471040, 0.17, 10.83, 1.57
472064, 0.27, 10.00, 1.98
473088, 0.17, 10.67, 1.64
474112, 0.17, 10.19, 2.19
475136, 0.17, 10.72, 1.73
476160, 0.27, 10.40, 1.99
477184, 0.16, 11.36, 2.21
478208, 0.21, 11.00, 1.63
479232, 0.17, 11.03, 2.08
480256, 0.16, 10.85, 1.66
481280, 0.17, 11.03, 1.87
482304, 0.17, 10.01, 1.91
483328, 0.24, 10.47, 2.24
484352, 0.17, 10.94, 1.81
485376, 0.18, 10.67, 1.78
486400, 0.17, 10.44, 1.91
487424, 0.17, 10.77, 1.69
488448, 0.17, 11.02, 2.56
489472, 0.16, 10.49, 2.29
490496, 0.16, 10.39, 1.87
491520, 0.25, 10.03, 1.69
492544, 0.22, 10.08, 2.12
493568, 0.21, 10.25, 2.33
494592, 0.16, 10.04, 2.17
495616, 0.16, 10.14, 1.90
496640, 0.16, 10.32, 1.63
497664, 0.23, 10.59, 2.31
498688, 0.18, 10.45, 1.62
499712, 0.17, 10.57, 1.78
500736, 0.19, 9.97, 2.40
501760, 0.17, 10.71, 2.28
502784, 0.17, 10.07, 2.63
503808, 0.18, 10.33, 2.14
504832, 0.16, 10.65, 1.65
505856, 0.16, 12.24, 1.58
506880, 0.17, 10.22, 3.45
507904, 0.18, 10.16, 1.89
508928, 0.16, 9.67, 1.88
509952, 0.19, 12.90, 1.62
510976, 0.16, 9.63, 1.49
512000, 0.16, 9.83, 1.48
513024, 0.17, 9.93, 1.53
514048, 0.16, 9.75, 1.50
515072, 0.16, 10.21, 1.49
516096, 0.20, 9.62, 1.46
517120, 0.16, 9.73, 1.49
518144, 0.17, 9.66, 1.56
519168, 0.16, 9.55, 1.46
520192, 0.19, 9.88, 1.46
521216, 0.17, 9.65, 3.05
522240, 0.21, 12.20, 1.86
523264, 0.22, 10.45, 1.86
524288, 0.17, 13.59, 1.87
525312, 0.22, 10.51, 2.69
526336, 0.18, 10.95, 1.83
527360, 0.17, 11.00, 2.76
528384, 0.17, 9.72, 1.48
529408, 0.23, 9.69, 1.69
530432, 0.19, 9.67, 1.56
531456, 0.16, 9.66, 1.53
532480, 0.17, 9.66, 1.61
533504, 0.22, 9.98, 1.82
534528, 0.17, 9.62, 1.63
535552, 0.16, 10.73, 1.77
536576, 0.17, 10.25, 2.15
537600, 0.22, 11.20, 2.73
538624, 0.17, 12.28, 2.37
539648, 0.20, 10.38, 1.56
540672, 0.16, 10.60, 1.95
541696, 0.20, 10.89, 1.84
542720, 0.17, 10.16, 2.40
543744, 0.20, 14.56, 1.94
544768, 0.17, 9.74, 1.58
545792, 0.22, 9.59, 1.70
546816, 0.17, 9.58, 1.52
547840, 0.17, 9.70, 1.50
548864, 0.16, 9.60, 2.72
549888, 0.23, 10.97, 2.13
550912, 0.16, 13.55, 2.85
551936, 0.17, 11.04, 1.97
552960, 0.19, 10.86, 3.36
553984, 0.24, 12.74, 2.32
555008, 0.18, 10.30, 2.12
556032, 0.22, 14.41, 1.68
557056, 0.16, 10.02, 1.50
558080, 0.16, 9.60, 1.62
559104, 0.22, 10.22, 1.58
560128, 0.17, 9.60, 1.61
561152, 0.16, 9.99, 1.56
562176, 0.20, 10.05, 2.61
563200, 0.21, 11.88, 1.77
564224, 0.16, 10.76, 1.55
565248, 0.18, 9.57, 1.71
566272, 0.17, 10.85, 1.74
567296, 0.16, 9.72, 2.62
568320, 0.17, 9.76, 1.68
569344, 0.16, 10.13, 1.57
570368, 0.23, 9.51, 1.55
571392, 0.16, 9.64, 1.55
572416, 0.16, 9.66, 1.69
573440, 0.16, 9.59, 1.78
574464, 0.17, 13.97, 1.94
575488, 0.69, 14.78, 1.57
576512, 0.16, 9.57, 1.61
577536, 0.16, 9.53, 1.58
578560, 0.23, 9.62, 2.18
579584, 0.16, 9.62, 1.53
580608, 0.16, 9.76, 1.63
581632, 0.16, 9.52, 1.60
582656, 0.17, 9.58, 1.67
583680, 0.16, 9.66, 2.16
584704, 0.16, 9.60, 1.65
585728, 0.16, 9.64, 2.44
586752, 0.26, 9.76, 3.54
587776, 0.16, 12.37, 3.72
588800, 0.16, 9.93, 1.88
589824, 0.35, 15.31, 2.20
590848, 0.18, 11.59, 2.51
591872, 0.17, 11.11, 2.70
592896, 0.20, 12.59, 2.27
593920, 0.17, 10.91, 2.01
594944, 0.16, 16.86, 1.64
595968, 0.16, 9.60, 1.56
596992, 0.16, 10.83, 1.91
598016, 0.17, 10.54, 2.88
599040, 0.23, 11.29, 2.56
